,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
calf,0.001147930292589143,0.0012938098042866355,0.0,0.0010955283117907672,0.0,0.0,0.0011331227130880366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031135940811697217,0.0
willow,0.04084664889047242,0.0,0.0,0.0,0.0,0.03910098575322385,0.03940156861336031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00795661355047044,0.0
thought,0.0035593388484190854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039866034385368735,0.0,0.0,0.0,0.0,0.0,0.0005030628191303973,0.0
gorilla,0.002340394363378907,0.0,0.0,0.002027623347344844,0.0,0.0,0.0021611827186189796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004352800286228487,0.0
onion,0.00220544357282433,0.0,0.0,0.0,0.0035549469004324398,0.003235115656657162,0.002197983138892962,0.0,0.0,0.0,0.0,0.003515790431938386,0.0,0.0,0.0,0.0009806186467163519,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.00044550629604454166,0.0,0.0,0.0,0.0006510083369565811,0.0,0.0004374166549883359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010226208586596391,0.0
truffle,0.0021842238481684065,0.0,0.0,0.0,0.002742188588445563,0.0,0.0020013926532735505,0.0,0.0,0.0,0.0,0.0027625028412862104,0.0,0.0,0.0,0.0006460205287449153,0.0
hair,0.030394537831519443,0.0,0.0,0.0,0.0,0.0,0.029977618322395302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03879151603916133,0.006610911479538405,0.0
tarantula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0023627782058444754,0.0,0.0,0.002440986622710688,0.0,0.0,0.002252273885237905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004704025809195379,0.0
